Fund,Alcohol,Tobacco,Gambling,Defense/ Weapons,Animal Testing,Products/ Services,Environment,Human Rights,Labor Relations,Employment/ Equality,Community Investment,Proxy Voting
Access Capital Strategies Community Investment Fund[26],NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,P,X
AHA Balanced Fund – Institutional Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Diversified Equity Fund – Institutional Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Diversified Equity Fund – N Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Full Maturity Fixed Income Fund – Institutional Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Full Maturity Fixed Income Fund – N Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Limited Maturity Fixed Income Fund – Institutional Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Limited Maturity Fixed Income Fund – N Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Socially Responsible Equity I,X,X,X,X,NS,P,P,P,P,P,NS,V
AHA Socially Responsible Equity N,X,X,X,X,NS,P,P,P,P,P,NS,V
Appleseed Fund[1],R,R,R,R,NS,NS,P,P,P,NS,P,V
Ariel Appreciation Fund [2],NS,X,NS,X,NS,NS,NS,NS,NS,NS,NS,V
Ariel Focus Fund,NS,X,NS,X,NS,NS,NS,NS,NS,NS,NS,V
Ariel Fund,NS,X,NS,X,NS,NS,NS,NS,NS,NS,NS,V
Azzad Ethical Income Fund [3],X,X,X,X,NS,NS,NS,NS,NS,NS,NS,V
Azzad Ethical Mid Cap Fund,X,X,X,X,NS,NS,NS,NS,NS,NS,NS,V
Brighter Student Fund [4],X,X,X,X,X,X,X,X,X,P,X,X
Fund',Alcohol,Tobacco,Gambling,Defense/ Weapons,Animal Testing,Products/ Services,Environment,Human Rights,Labor Relations,Employment/ Equality,Community Investment,Proxy Voting
Calvert Aggressive Allocation Fund [5],X,X,X,R,R,P,P,P,P,P,P,V
Calvert Capital Accumulation A [6],X,X,X,R,R,P,P,P,P,P,P,V
Calvert Capital Accumulation B [7],X,X,X,R,R,P,P,P,P,P,P,V
